,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,malware,count
21,[-0.6793656316666666],[-0.39105155333333336],[-0.4425837433333333],[-0.071034334],[0.364760612],[-0.08385769],[0.3277032183333333],[0.7375777716666666],[-0.11950910999999999],[0.009105617499999991],[0.017004816666666662],[-0.29190431],[0.653292485],[0.17380754833333334],[-0.3177000326666667],[-0.8566184016666666],[-0.59497462],[0.3513713316666667],[-0.14724041999999998],[0.18828402833333335],[-0.333244205],[0.016573529499999996],[0.05561674116666667],[-0.15443824400000003],[0.09447014666666669],[-0.2120435635],[0.3948903916666667],[-0.349077485],0,6
22,[-1.3243463916666667],[-0.41003905333333335],[-0.347225755],[-0.39247692999999995],[0.20982668200000001],[-0.2916616111666667],[0.6297296466666665],[0.9584979083333334],[-0.08261913499999998],[0.38857360766666676],[0.9095919983333333],[-0.36440536500000004],[0.47296802],[0.3430277366666667],[-0.341226878],[-0.9151895516666668],[-0.9498733416666666],[0.32222807000000003],[-0.47369674166666664],[0.18820410166666668],[-0.3850235483333333],[-0.1824984791666667],[-0.08901870783333332],[-0.3361878308333333],[0.36681961],[-0.2939786831666667],[0.24274238549999996],[-0.3543581816666667],0,6
23,[-1.66188355],[-0.5063297883333334],[-0.6812212383333334],[-0.29778484],[0.06860788166666668],[-0.4187421783333333],[0.5295165766666666],[1.0468658166666667],[-0.15364925766666668],[0.917479815],[1.9573843833333333],[-0.10171120233333335],[0.3710386108333333],[-0.18989286166666666],[-0.35368563999999997],[-0.5685007633333333],[-0.7398488211666666],[0.5617494433333333],[-0.1695970775],[-0.18561748433333336],[-0.25065049933333333],[-0.18240929616666668],[-0.0192875585],[-0.45251607],[0.8104636900000001],[-0.45671641500000004],[-0.07164178866666665],[0.021461568666666663],0,6
24,[-1.3677171],[-0.8713197819999999],[-0.340515072],[-0.134112388],[0.40413464],[-0.061874867],[0.9244164080000001],[0.6219239520000001],[0.0832782518],[-0.348363566],[-0.036497475200000004],[0.0753438222],[0.461170294],[-0.43655825200000004],[-0.787318026],[-0.988669886],[-1.5088390200000001],[1.2063317599999999],[-0.179389718],[0.688370004],[-1.50407252],[0.21386254799999999],[-0.074938997],[1.03798462],[0.8174554439999999],[-0.38920039],[1.2895741200000002],[-1.11565926],0,5
25,[-1.0096908866666665],[-0.56753088],[-0.5268506216666666],[-0.17395225166666664],[0.29757068333333336],[0.11577246599999998],[0.9547163883333334],[0.6294990183333333],[0.06653698733333334],[-0.4170286],[0.06858413283333334],[-0.18276927833333334],[0.7028597466666667],[-0.423448945],[-0.495379105],[-1.0706403833333333],[-1.0142664533333334],[0.9452488],[-0.22669104000000004],[0.5857238133333333],[-0.892221],[0.29716851550000006],[0.114669615],[0.8042540883333333],[0.48107298166666673],[-0.24462281300000002],[1.125350758333333],[-1.1474645583333334],0,6
26,[-1.2839680933333335],[-0.435004735],[-0.7989681966666667],[-0.39050584416666667],[0.08737003866666665],[0.046479070000000004],[0.7177636106666667],[0.8936432683333334],[-0.5339367466666666],[0.4292368195],[0.5410159895000001],[-0.46565629416666665],[0.6686523999999999],[-0.7412739766666666],[-0.6320668533333333],[-1.0036410766666666],[-0.6641185133333333],[0.6403062700000001],[-0.5150669566666667],[0.38188968166666665],[-0.40379624166666667],[-0.050118973333333316],[0.06551675716666668],[0.47317378166666674],[0.32682945766666666],[-0.4388011383333333],[0.6438339000000001],[-0.8702074316666667],0,6
27,[-1.2966276733333333],[-0.6467519766666667],[-0.8082332549999999],[-0.1977734485],[0.18140222716666665],[0.20826451433333334],[1.0508751233333333],[0.7173308733333333],[-0.26681517299999996],[0.023831273999999996],[-0.11898897549999998],[-0.15053089333333333],[0.7441538216666667],[-0.4525865683333334],[-0.6413668566666666],[-1.2128428999999998],[-1.038148406],[0.7467930883333334],[-0.19378385566666667],[0.6232943783333335],[-0.8629406816666666],[0.06392415333333332],[0.27729627166666665],[1.1914412766666667],[0.30532541333333335],[-0.38536404199999996],[1.6084415666666665],[-1.184756036666667],0,6
28,[-0.9302419049999999],[-0.5865608683333333],[-0.5627276816666668],[-0.3573051396666667],[0.26677105716666666],[-0.09283349983333333],[0.5661522133333333],[0.32520372999999997],[0.05449469083333334],[-0.28856908333333336],[0.345445391],[-0.12434665833333336],[0.5388095233333334],[-0.023514752500000003],[-0.386946856],[-0.7697218983333333],[-0.6520823783333333],[0.68906356],[-0.456311935],[0.32732226000000003],[-0.027048190000000027],[-0.06568035000000001],[0.24819002833333334],[0.5283356516666666],[0.46633037000000005],[-0.22544855266666666],[0.6215197273333333],[-0.7036673183333334],0,5
29,[-0.9302419049999999],[-0.5865608683333333],[-0.5627276816666668],[-0.3573051396666667],[0.26677105716666666],[-0.09283349983333333],[0.5661522133333333],[0.32520372999999997],[0.05449469083333334],[-0.28856908333333336],[0.345445391],[-0.12434665833333336],[0.5388095233333334],[-0.023514752500000003],[-0.386946856],[-0.7697218983333333],[-0.6520823783333333],[0.68906356],[-0.456311935],[0.32732226000000003],[-0.027048190000000027],[-0.06568035000000001],[0.24819002833333334],[0.5283356516666666],[0.46633037000000005],[-0.22544855266666666],[0.6215197273333333],[-0.7036673183333334],1,1
30,[-1.760976633333333],[-0.42788791499999995],[-0.9728025833333332],[-0.34437816949999994],[-0.057194192],[-0.12841364],[1.3403484533333332],[1.5940003500000002],[-0.57064422],[0.2250169666666666],[1.0964422166666667],[-0.11283100750000001],[0.7159070083333333],[0.38579542833333336],[-0.22908720166666666],[-0.5211443216666667],[-1.5620492300000002],[-0.03448382666666668],[-0.4935943833333334],[0.7505345333333334],[-0.120386803],[0.03194479333333331],[0.0009533553333333269],[0.542996695],[1.0819925333333333],[-0.39349198500000004],[0.35469960399999995],[-0.795242485],0,6
