,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,malware,count
1555,[-0.0036526068333333334],[-0.0038397118333333338],[0.0025901619999999996],[0.0017642813333333333],[-0.0023224384999999998],[-0.0033639559999999995],[-0.0024448440000000003],[-0.002579861666666667],[-0.00013135116666666675],[-0.0016000636666666666],[0.0018083775000000003],[0.0017132503333333333],[-0.0021858761666666664],[-0.0038041891666666665],[-0.0022667021666666664],[-0.001824678166666667],[0.0032306995],[0.0030100244999999998],[0.004807110333333334],[-0.004008332166666667],[0.0015161728333333334],[-0.005114021666666667],[-0.0013438693333333333],[0.0029964883333333334],[0.0014284879999999997],[0.0045676580000000005],[-0.0016366016666666666],[0.0030048903333333332],1,5
1556,[0.00030656633333333303],[-0.0038279501666666667],[0.0007842455],[-0.0015828145],[0.0014363556666666672],[-0.0034790961666666662],[0.000785859],[-0.004143642666666667],[-6.326683333333313e-05],[-0.0022458153333333336],[-0.00047245349999999997],[0.0007692971666666666],[-0.0029368115000000003],[-0.004620972833333333],[-0.0016072096666666664],[-3.6763166666666674e-05],[0.0029617905000000003],[-0.0007364004999999997],[0.0038965569999999997],[-0.0029363656666666666],[0.0016442961666666667],[0.0044057858333333335],[0.0030030523333333336],[0.0033798515],[0.0014230343333333335],[0.0038094234999999995],[-0.0022405806666666666],[-0.00026439566666666686],0,1
1557,[0.00030656633333333303],[-0.0038279501666666667],[0.0007842455],[-0.0015828145],[0.0014363556666666672],[-0.0034790961666666662],[0.000785859],[-0.004143642666666667],[-6.326683333333313e-05],[-0.0022458153333333336],[-0.00047245349999999997],[0.0007692971666666666],[-0.0029368115000000003],[-0.004620972833333333],[-0.0016072096666666664],[-3.6763166666666674e-05],[0.0029617905000000003],[-0.0007364004999999997],[0.0038965569999999997],[-0.0029363656666666666],[0.0016442961666666667],[0.0044057858333333335],[0.0030030523333333336],[0.0033798515],[0.0014230343333333335],[0.0038094234999999995],[-0.0022405806666666666],[-0.00026439566666666686],1,5
1558,[-0.0003673253333333335],[-0.004430178166666667],[0.000669125],[0.0043726308333333335],[-0.003931729166666666],[-0.0041894133333333335],[-0.00028009916666666676],[-0.0011678573333333334],[-0.0009146750000000001],[-0.0005408003333333334],[2.167666666666717e-06],[-0.0013632633333333333],[0.006066005333333333],[-0.004425578833333333],[0.0009719081666666666],[0.0027464470000000004],[0.0034816511666666667],[-0.0016738406666666668],[0.003466767166666667],[-0.0038085213333333336],[0.0011626065],[0.004945957666666666],[0.002179782166666667],[0.0005932958333333336],[-0.0013766246666666664],[0.003720542166666667],[-0.0032713439999999994],[-0.0011592906666666666],0,1
1559,[-0.0003673253333333335],[-0.004430178166666667],[0.000669125],[0.0043726308333333335],[-0.003931729166666666],[-0.0041894133333333335],[-0.00028009916666666676],[-0.0011678573333333334],[-0.0009146750000000001],[-0.0005408003333333334],[2.167666666666717e-06],[-0.0013632633333333333],[0.006066005333333333],[-0.004425578833333333],[0.0009719081666666666],[0.0027464470000000004],[0.0034816511666666667],[-0.0016738406666666668],[0.003466767166666667],[-0.0038085213333333336],[0.0011626065],[0.004945957666666666],[0.002179782166666667],[0.0005932958333333336],[-0.0013766246666666664],[0.003720542166666667],[-0.0032713439999999994],[-0.0011592906666666666],1,5
1560,[-0.001623486],[-0.0036701940000000003],[-0.004905484],[0.0035215672000000003],[-0.0002487816000000001],[-0.0032391686000000004],[0.0008191572000000001],[-0.0036944878],[2.395559999999997e-05],[-0.0037765430000000003],[0.0011322737999999999],[-0.0008116450000000003],[-0.0014830922],[-0.005353962],[-0.0011176748],[-0.0037397819999999997],[0.0026309902000000002],[0.0004083385999999998],[0.0033632476],[0.004166663199999999],[0.0017708335999999999],[0.0026599080000000003],[-0.0009010148000000003],[-0.0003538003999999999],[-0.0018200911999999999],[-0.0046639552],[0.0014013832],[0.0011155694],0,1
1561,[-0.001623486],[-0.0036701940000000003],[-0.004905484],[0.0035215672000000003],[-0.0002487816000000001],[-0.0032391686000000004],[0.0008191572000000001],[-0.0036944878],[2.395559999999997e-05],[-0.0037765430000000003],[0.0011322737999999999],[-0.0008116450000000003],[-0.0014830922],[-0.005353962],[-0.0011176748],[-0.0037397819999999997],[0.0026309902000000002],[0.0004083385999999998],[0.0033632476],[0.004166663199999999],[0.0017708335999999999],[0.0026599080000000003],[-0.0009010148000000003],[-0.0003538003999999999],[-0.0018200911999999999],[-0.0046639552],[0.0014013832],[0.0011155694],1,4
1562,[0.0010255255000000002],[-0.0053458205],[0.0033835385],[1.7854333333333465e-05],[-0.0012479379999999999],[-0.004773346666666667],[-0.0015734641666666667],[-0.0017687391666666667],[-0.0015941158333333337],[-0.0007862335000000001],[-0.003760301499999999],[0.0014060783333333337],[-0.0006699951666666665],[-0.004583731],[-0.0007802506666666666],[-0.0042330829999999995],[0.0039490165],[-0.0030038739999999997],[0.004065496833333333],[0.0030567435000000004],[0.00028303116666666663],[0.0009023411666666667],[-0.00021273500000000006],[-0.00017802433333333344],[0.0008995469999999998],[-0.0042560975],[7.156533333333344e-05],[0.004039205333333334],0,3
1563,[0.0010255255000000002],[-0.0053458205],[0.0033835385],[1.7854333333333465e-05],[-0.0012479379999999999],[-0.004773346666666667],[-0.0015734641666666667],[-0.0017687391666666667],[-0.0015941158333333337],[-0.0007862335000000001],[-0.003760301499999999],[0.0014060783333333337],[-0.0006699951666666665],[-0.004583731],[-0.0007802506666666666],[-0.0042330829999999995],[0.0039490165],[-0.0030038739999999997],[0.004065496833333333],[0.0030567435000000004],[0.00028303116666666663],[0.0009023411666666667],[-0.00021273500000000006],[-0.00017802433333333344],[0.0008995469999999998],[-0.0042560975],[7.156533333333344e-05],[0.004039205333333334],1,3
1564,[-0.0006259801666666666],[-0.004889478833333333],[-0.0005485278333333333],[0.0016426506666666668],[-0.0027142713333333335],[-0.0027939579999999996],[9.812166666666652e-05],[-0.0009243093333333334],[0.0009356168333333332],[-0.00033423250000000023],[-0.004231933833333333],[0.000454269],[-2.0265999999999975e-05],[-0.004384261833333333],[-0.0015574934999999998],[0.004135630166666667],[0.0034067195],[-0.0022661578333333333],[0.003096783],[0.0038117991666666664],[-0.0011781671666666665],[-0.003902652],[-0.0017443513333333333],[-0.0026238100000000003],[-0.00046761150000000005],[-0.0038556316666666667],[0.0007611346666666665],[0.0018477916666666666],0,4
1565,[-0.0006259801666666666],[-0.004889478833333333],[-0.0005485278333333333],[0.0016426506666666668],[-0.0027142713333333335],[-0.0027939579999999996],[9.812166666666652e-05],[-0.0009243093333333334],[0.0009356168333333332],[-0.00033423250000000023],[-0.004231933833333333],[0.000454269],[-2.0265999999999975e-05],[-0.004384261833333333],[-0.0015574934999999998],[0.004135630166666667],[0.0034067195],[-0.0022661578333333333],[0.003096783],[0.0038117991666666664],[-0.0011781671666666665],[-0.003902652],[-0.0017443513333333333],[-0.0026238100000000003],[-0.00046761150000000005],[-0.0038556316666666667],[0.0007611346666666665],[0.0018477916666666666],1,2
1566,[0.0006072178333333332],[-0.004349437666666667],[0.0004610809999999999],[-0.002246897666666667],[-0.0012614471666666665],[-0.0032948651666666663],[-3.844549999999997e-05],[-0.0038806778333333332],[-0.004052602166666667],[-0.0003085106666666667],[-0.003162787166666667],[-0.0025449253333333336],[-0.002265126666666667],[-0.004309814666666667],[0.003988636],[0.005020211],[0.002496904333333333],[0.004562060666666667],[0.004830784833333333],[0.005454379],[-0.0036869096666666667],[0.0020063015],[0.0043726285],[-0.0016887311666666665],[-0.0015468290000000002],[-0.0042986595],[0.0015879503333333332],[-0.0015696479999999999],0,2
1567,[0.0006072178333333332],[-0.004349437666666667],[0.0004610809999999999],[-0.002246897666666667],[-0.0012614471666666665],[-0.0032948651666666663],[-3.844549999999997e-05],[-0.0038806778333333332],[-0.004052602166666667],[-0.0003085106666666667],[-0.003162787166666667],[-0.0025449253333333336],[-0.002265126666666667],[-0.004309814666666667],[0.003988636],[0.005020211],[0.002496904333333333],[0.004562060666666667],[0.004830784833333333],[0.005454379],[-0.0036869096666666667],[0.0020063015],[0.0043726285],[-0.0016887311666666665],[-0.0015468290000000002],[-0.0042986595],[0.0015879503333333332],[-0.0015696479999999999],1,4
1568,[-0.0010798066666666665],[-0.005344089],[-0.0004865453333333333],[-0.0024949334999999997],[-0.0005355196666666666],[-0.004487233],[-0.002410531333333334],[-0.0036167793333333337],[0.004767610833333334],[0.0012408226666666665],[-0.0012169303333333331],[8.491183333333334e-05],[-0.0007737123333333335],[-0.0052094595],[0.0011004116666666667],[0.0012869155000000002],[0.0036359786666666665],[-0.00037058533333333326],[0.004469802833333334],[0.0051604960000000005],[0.0015438590000000005],[-0.003699245666666666],[-0.004378085833333334],[0.00024428716666666673],[-0.004213262833333334],[0.0028308161666666665],[-0.0018858744999999996],[0.0019565794999999997],0,2
1569,[-0.0010798066666666665],[-0.005344089],[-0.0004865453333333333],[-0.0024949334999999997],[-0.0005355196666666666],[-0.004487233],[-0.002410531333333334],[-0.0036167793333333337],[0.004767610833333334],[0.0012408226666666665],[-0.0012169303333333331],[8.491183333333334e-05],[-0.0007737123333333335],[-0.0052094595],[0.0011004116666666667],[0.0012869155000000002],[0.0036359786666666665],[-0.00037058533333333326],[0.004469802833333334],[0.0051604960000000005],[0.0015438590000000005],[-0.003699245666666666],[-0.004378085833333334],[0.00024428716666666673],[-0.004213262833333334],[0.0028308161666666665],[-0.0018858744999999996],[0.0019565794999999997],1,4
1570,[0.00017098750000000008],[-0.00246404],[-0.0024607608333333335],[0.0012635785],[-0.0014870021666666669],[-0.0023333640000000005],[-0.0005546013333333332],[-0.002615813833333334],[0.0010534735],[-0.0020972635],[0.0005465113333333332],[0.0011892825],[-0.0009218159999999998],[-0.0045748175],[-0.003712858333333333],[-0.0011779618333333335],[0.005735486333333334],[0.004442951333333333],[0.003645729333333333],[0.002109524166666667],[-0.0009154955],[0.0031368208333333336],[-0.0027133306666666667],[-0.004060274333333333],[-0.0012766488333333331],[0.0032341590000000003],[0.0024687150000000002],[0.0009738283333333331],0,1
1571,[0.00017098750000000008],[-0.00246404],[-0.0024607608333333335],[0.0012635785],[-0.0014870021666666669],[-0.0023333640000000005],[-0.0005546013333333332],[-0.002615813833333334],[0.0010534735],[-0.0020972635],[0.0005465113333333332],[0.0011892825],[-0.0009218159999999998],[-0.0045748175],[-0.003712858333333333],[-0.0011779618333333335],[0.005735486333333334],[0.004442951333333333],[0.003645729333333333],[0.002109524166666667],[-0.0009154955],[0.0031368208333333336],[-0.0027133306666666667],[-0.004060274333333333],[-0.0012766488333333331],[0.0032341590000000003],[0.0024687150000000002],[0.0009738283333333331],1,5
1572,[0.0008661206666666665],[-0.004295785833333333],[-0.000823892],[3.2897999999999955e-05],[-0.0014119451666666667],[-0.0026668608333333334],[-0.0007032031666666666],[-0.002185695],[-0.0004956486666666664],[-0.0029148715000000005],[9.446216666666675e-05],[-0.0020222101666666666],[0.0021580888333333336],[-0.004143848500000001],[0.0004614735000000002],[0.00212715],[0.0029144145],[0.0012441951666666666],[0.004748382166666666],[0.004302779666666667],[0.0013574975],[-0.0028512685],[0.003240600833333334],[-0.0004484381666666666],[0.0006709441666666668],[0.0039458325],[0.0016368491666666667],[-0.002678634166666667],0,2
1573,[0.0008661206666666665],[-0.004295785833333333],[-0.000823892],[3.2897999999999955e-05],[-0.0014119451666666667],[-0.0026668608333333334],[-0.0007032031666666666],[-0.002185695],[-0.0004956486666666664],[-0.0029148715000000005],[9.446216666666675e-05],[-0.0020222101666666666],[0.0021580888333333336],[-0.004143848500000001],[0.0004614735000000002],[0.00212715],[0.0029144145],[0.0012441951666666666],[0.004748382166666666],[0.004302779666666667],[0.0013574975],[-0.0028512685],[0.003240600833333334],[-0.0004484381666666666],[0.0006709441666666668],[0.0039458325],[0.0016368491666666667],[-0.002678634166666667],1,4
1574,[0.0021200288333333333],[-0.0040912305],[0.0018928311666666666],[-0.00014003416666666661],[-0.0023241705],[-0.0032449293333333333],[0.0045481501666666665],[-0.0022985120000000004],[0.0010208218333333334],[0.00010134733333333342],[-0.0023121746666666665],[-0.0013267428333333332],[-0.0011063751666666665],[-0.004021491666666667],[0.0006047526666666668],[-0.0004567345],[0.0017657008333333334],[0.0003659656666666667],[0.004614218333333333],[0.0050972215],[-0.0020257273333333333],[-0.0002508326666666668],[0.0038791131666666666],[-0.00024067133333333332],[0.0012271605],[0.0053870141666666664],[0.0011011185],[0.0038040709999999996],0,3
1575,[0.0021200288333333333],[-0.0040912305],[0.0018928311666666666],[-0.00014003416666666661],[-0.0023241705],[-0.0032449293333333333],[0.0045481501666666665],[-0.0022985120000000004],[0.0010208218333333334],[0.00010134733333333342],[-0.0023121746666666665],[-0.0013267428333333332],[-0.0011063751666666665],[-0.004021491666666667],[0.0006047526666666668],[-0.0004567345],[0.0017657008333333334],[0.0003659656666666667],[0.004614218333333333],[0.0050972215],[-0.0020257273333333333],[-0.0002508326666666668],[0.0038791131666666666],[-0.00024067133333333332],[0.0012271605],[0.0053870141666666664],[0.0011011185],[0.0038040709999999996],1,3
1576,[0.0034728066000000004],[-0.0044195648],[-0.0016572492],[-0.0029746724000000004],[0.0009929158000000003],[-0.0028500294],[-0.0010849972],[-0.0028721738000000003],[-0.0009175644],[0.0027781881999999996],[0.0026602679999999995],[-0.0037171546],[0.0021459310000000002],[0.0018336806],[0.002642778],[-0.0024433716],[0.0038994285999999997],[0.0013653880000000001],[0.0026556638000000002],[-0.0016068018],[-0.0014936501999999999],[-0.0020197366],[-0.005412089399999999],[-0.0030285032],[0.0008444404000000003],[-0.0041921356],[-0.0007824842],[-0.0035879636000000006],0,2
1577,[0.0034728066000000004],[-0.0044195648],[-0.0016572492],[-0.0029746724000000004],[0.0009929158000000003],[-0.0028500294],[-0.0010849972],[-0.0028721738000000003],[-0.0009175644],[0.0027781881999999996],[0.0026602679999999995],[-0.0037171546],[0.0021459310000000002],[0.0018336806],[0.002642778],[-0.0024433716],[0.0038994285999999997],[0.0013653880000000001],[0.0026556638000000002],[-0.0016068018],[-0.0014936501999999999],[-0.0020197366],[-0.005412089399999999],[-0.0030285032],[0.0008444404000000003],[-0.0041921356],[-0.0007824842],[-0.0035879636000000006],1,3
1578,[0.00014862500000000002],[-0.0051817661666666666],[-0.003171441666666667],[-0.0031917415],[0.00026756349999999997],[-0.0018558868333333333],[0.0016228386666666667],[-0.0022107491666666667],[-0.0003561775000000002],[-0.0026768201666666665],[0.0022871765],[0.00015247433333333334],[-0.00016645116666666676],[0.003686479166666666],[0.0017374508333333335],[0.0021183033333333334],[0.002676048],[0.0017857804999999998],[0.0029807341666666667],[-0.003049899333333333],[-0.003584632666666667],[-0.0018452359999999994],[0.0036817768333333328],[-0.00035466883333333315],[0.0014656541666666668],[-0.005615627333333334],[0.0007695261666666666],[0.0023540773333333336],1,6
1579,[0.003427452333333333],[-0.004278284333333333],[-0.00013125000000000015],[0.0018406248333333335],[-2.6188000000000106e-05],[-0.0038271551666666666],[0.0009891251666666668],[-0.004221831333333333],[-0.0011389414999999998],[0.0004814321666666667],[0.0024478963333333333],[-0.001978303833333333],[-0.0013658636666666665],[0.005083830333333333],[-0.0022881466666666663],[-0.00158037],[0.00109263],[0.0027570041666666665],[0.0035068173333333333],[-0.003975257833333333],[0.0022338356666666667],[-0.0021988171666666666],[-0.006330159166666668],[-0.0031013516666666663],[-0.003210643166666666],[0.0010001790000000001],[0.0031059986666666668],[-0.0018961748333333334],0,2
1580,[0.003427452333333333],[-0.004278284333333333],[-0.00013125000000000015],[0.0018406248333333335],[-2.6188000000000106e-05],[-0.0038271551666666666],[0.0009891251666666668],[-0.004221831333333333],[-0.0011389414999999998],[0.0004814321666666667],[0.0024478963333333333],[-0.001978303833333333],[-0.0013658636666666665],[0.005083830333333333],[-0.0022881466666666663],[-0.00158037],[0.00109263],[0.0027570041666666665],[0.0035068173333333333],[-0.003975257833333333],[0.0022338356666666667],[-0.0021988171666666666],[-0.006330159166666668],[-0.0031013516666666663],[-0.003210643166666666],[0.0010001790000000001],[0.0031059986666666668],[-0.0018961748333333334],1,4
1581,[-0.00027974233333333357],[-0.003932204833333334],[0.0007631834999999998],[-0.0030385758333333333],[-0.0023615046666666667],[-0.005125734833333334],[0.0016107593333333332],[-0.0008012188333333332],[-0.004509852333333333],[0.0012063211666666666],[0.0021233556666666667],[-0.0013953701666666665],[-0.002413595],[0.0031501216666666664],[0.0016791174999999999],[-0.0002763476666666668],[0.0033712986666666668],[-0.0005675264999999999],[0.0048976244999999995],[-0.0012510831666666666],[0.0024329555],[-0.00335134],[0.0018796999999999998],[-0.0014576115],[0.0009174326666666666],[0.0024904113333333333],[0.0009520985000000002],[-0.000507609],0,3
1582,[-0.00027974233333333357],[-0.003932204833333334],[0.0007631834999999998],[-0.0030385758333333333],[-0.0023615046666666667],[-0.005125734833333334],[0.0016107593333333332],[-0.0008012188333333332],[-0.004509852333333333],[0.0012063211666666666],[0.0021233556666666667],[-0.0013953701666666665],[-0.002413595],[0.0031501216666666664],[0.0016791174999999999],[-0.0002763476666666668],[0.0033712986666666668],[-0.0005675264999999999],[0.0048976244999999995],[-0.0012510831666666666],[0.0024329555],[-0.00335134],[0.0018796999999999998],[-0.0014576115],[0.0009174326666666666],[0.0024904113333333333],[0.0009520985000000002],[-0.000507609],1,3
1583,[-0.001710751],[-0.0026565456],[0.0008319758],[-0.0008719354],[-0.0021118989999999995],[-0.0050531581999999995],[0.0027304088],[-0.0030113404000000005],[0.0008826252],[0.0008642462],[0.0012453944],[0.0009229938],[-0.0006018189999999996],[0.0023730102],[0.0034161589999999998],[-0.0014302952],[0.0038128014000000003],[-0.0009499357999999999],[0.005133993],[-0.0029238529999999997],[-0.0015954794],[0.0044045075999999996],[-0.0009426004000000002],[0.0010850079999999997],[-0.0025181652],[-0.0051344714],[0.0025096666],[-0.0032047901999999995],0,1
1584,[-0.001710751],[-0.0026565456],[0.0008319758],[-0.0008719354],[-0.0021118989999999995],[-0.0050531581999999995],[0.0027304088],[-0.0030113404000000005],[0.0008826252],[0.0008642462],[0.0012453944],[0.0009229938],[-0.0006018189999999996],[0.0023730102],[0.0034161589999999998],[-0.0014302952],[0.0038128014000000003],[-0.0009499357999999999],[0.005133993],[-0.0029238529999999997],[-0.0015954794],[0.0044045075999999996],[-0.0009426004000000002],[0.0010850079999999997],[-0.0025181652],[-0.0051344714],[0.0025096666],[-0.0032047901999999995],1,4
1585,[8.046899999999996e-05],[-0.0027953053333333333],[0.0006760156666666666],[-0.0037983475],[0.0017312463333333337],[-0.0038231861666666663],[0.0009410056666666666],[-0.003973336833333333],[0.0016839173333333334],[0.0009325733333333334],[-0.0016973556666666665],[0.0006423229999999999],[-0.0032880216666666667],[0.003369181],[0.0007432171666666667],[0.001362690166666667],[0.0029517648333333333],[0.001544085166666667],[0.003458804333333333],[-0.0031176365],[-0.0003666844999999999],[0.005646548],[0.0010727055000000001],[0.0015516126666666665],[0.0013936771666666666],[-0.003324002],[0.00494916],[0.003583203833333333],0,4
1586,[8.046899999999996e-05],[-0.0027953053333333333],[0.0006760156666666666],[-0.0037983475],[0.0017312463333333337],[-0.0038231861666666663],[0.0009410056666666666],[-0.003973336833333333],[0.0016839173333333334],[0.0009325733333333334],[-0.0016973556666666665],[0.0006423229999999999],[-0.0032880216666666667],[0.003369181],[0.0007432171666666667],[0.001362690166666667],[0.0029517648333333333],[0.001544085166666667],[0.003458804333333333],[-0.0031176365],[-0.0003666844999999999],[0.005646548],[0.0010727055000000001],[0.0015516126666666665],[0.0013936771666666666],[-0.003324002],[0.00494916],[0.003583203833333333],1,2
1587,[0.002332200333333333],[-0.0025976486666666665],[-0.000899310166666667],[0.0010503281666666667],[-5.14499999999999e-05],[-0.004282617333333333],[0.0004752458333333331],[-0.0032983645],[-0.00046637699999999975],[-0.001707507166666667],[0.0025097495],[-0.0009398650000000001],[-0.0013208156666666667],[0.004542185333333333],[-0.00042332583333333333],[-0.0033096611666666668],[0.0018575626666666666],[0.0036721461666666673],[0.002847618833333333],[-0.003869752166666666],[0.001867426833333333],[0.0042873255],[-0.004141605833333333],[0.002952542833333333],[-0.0003906583333333335],[0.0035115493333333337],[-0.0014043841666666664],[-0.0031583126666666662],0,1
1588,[0.002332200333333333],[-0.0025976486666666665],[-0.000899310166666667],[0.0010503281666666667],[-5.14499999999999e-05],[-0.004282617333333333],[0.0004752458333333331],[-0.0032983645],[-0.00046637699999999975],[-0.001707507166666667],[0.0025097495],[-0.0009398650000000001],[-0.0013208156666666667],[0.004542185333333333],[-0.00042332583333333333],[-0.0033096611666666668],[0.0018575626666666666],[0.0036721461666666673],[0.002847618833333333],[-0.003869752166666666],[0.001867426833333333],[0.0042873255],[-0.004141605833333333],[0.002952542833333333],[-0.0003906583333333335],[0.0035115493333333337],[-0.0014043841666666664],[-0.0031583126666666662],1,5
1589,[0.0016750550000000006],[-0.003102243333333333],[0.0021185363333333334],[0.0006508538333333332],[0.004168569666666666],[-0.0047515913333333335],[-0.0012537331666666667],[-0.002068177166666667],[-0.00040211683333333343],[0.0013804283333333333],[-0.0030454995],[0.0015176889999999998],[0.0002860549999999999],[0.0038398058333333333],[-0.0026580393333333337],[0.0051599445],[0.0017229055],[-0.0011594221666666666],[0.004792110333333333],[-0.0034636059999999997],[3.3724166666666746e-05],[0.004826182833333334],[-0.0007767048333333335],[0.0007319128333333334],[-0.0034739663333333334],[0.0039625461666666665],[0.002733315833333333],[-0.00021560633333333337],0,4
1590,[0.0016750550000000006],[-0.003102243333333333],[0.0021185363333333334],[0.0006508538333333332],[0.004168569666666666],[-0.0047515913333333335],[-0.0012537331666666667],[-0.002068177166666667],[-0.00040211683333333343],[0.0013804283333333333],[-0.0030454995],[0.0015176889999999998],[0.0002860549999999999],[0.0038398058333333333],[-0.0026580393333333337],[0.0051599445],[0.0017229055],[-0.0011594221666666666],[0.004792110333333333],[-0.0034636059999999997],[3.3724166666666746e-05],[0.004826182833333334],[-0.0007767048333333335],[0.0007319128333333334],[-0.0034739663333333334],[0.0039625461666666665],[0.002733315833333333],[-0.00021560633333333337],1,2
1591,[-0.00237898],[-0.0046941392],[-0.0014891468],[-0.0006253018],[-0.0021199014],[-0.0027819504],[-0.0005928075999999999],[-0.003614991],[0.000547583],[-0.0012345572000000001],[0.00019509139999999997],[-0.0012547974],[0.0025785535999999997],[0.0046860878],[0.0043220188],[-0.0010673026],[0.0040201718],[-0.0005238699999999998],[0.0026090886],[0.004866205199999999],[-0.0054685276],[-0.0041443876000000004],[0.0003147912],[0.001496608],[0.0018433252000000003],[-0.0057733518],[-0.0037457616],[0.0022903252],0,1
1592,[-0.00237898],[-0.0046941392],[-0.0014891468],[-0.0006253018],[-0.0021199014],[-0.0027819504],[-0.0005928075999999999],[-0.003614991],[0.000547583],[-0.0012345572000000001],[0.00019509139999999997],[-0.0012547974],[0.0025785535999999997],[0.0046860878],[0.0043220188],[-0.0010673026],[0.0040201718],[-0.0005238699999999998],[0.0026090886],[0.004866205199999999],[-0.0054685276],[-0.0041443876000000004],[0.0003147912],[0.001496608],[0.0018433252000000003],[-0.0057733518],[-0.0037457616],[0.0022903252],1,4
1593,[-0.0021966160000000006],[-0.005247466],[0.0007049399999999999],[-0.002814566333333333],[-0.0017111025000000003],[-0.0048477983333333335],[0.0026883375],[-0.0036830438333333333],[0.0015164688333333335],[0.0005265756666666667],[0.0006786468333333331],[-0.0004614395],[0.000323238],[0.0033401098333333333],[0.0010599560000000001],[-0.0001348758333333332],[0.0033781001666666668],[0.002779203666666667],[0.004124755833333334],[0.004688636666666667],[-0.0031674264999999994],[-0.004441471666666666],[-0.0031527838333333335],[0.0015442699999999997],[0.003450421],[-0.0037635315000000003],[0.0024718640000000003],[-0.0013537223333333333],0,1
1594,[-0.0021966160000000006],[-0.005247466],[0.0007049399999999999],[-0.002814566333333333],[-0.0017111025000000003],[-0.0048477983333333335],[0.0026883375],[-0.0036830438333333333],[0.0015164688333333335],[0.0005265756666666667],[0.0006786468333333331],[-0.0004614395],[0.000323238],[0.0033401098333333333],[0.0010599560000000001],[-0.0001348758333333332],[0.0033781001666666668],[0.002779203666666667],[0.004124755833333334],[0.004688636666666667],[-0.0031674264999999994],[-0.004441471666666666],[-0.0031527838333333335],[0.0015442699999999997],[0.003450421],[-0.0037635315000000003],[0.0024718640000000003],[-0.0013537223333333333],1,5
1595,[0.0023374176],[-0.003959755800000001],[-0.0043340418],[0.0009515521999999999],[-0.0017751498],[-0.0035311702],[-0.003621702],[-0.0030005376],[0.004371770400000001],[0.002752098],[0.0013844408],[-0.0007773802],[0.0005066528],[0.0030636860000000004],[9.557959999999992e-05],[0.00013012599999999967],[0.004096136],[0.0061803762],[0.003351505],[0.0052764194],[-0.0009026679999999999],[0.0034335855999999996],[-0.0052896418],[0.0005516685999999999],[-0.0028877204],[-0.0017699783999999999],[-0.0033804442],[0.0018150742000000001],0,3
1596,[0.0023374176],[-0.003959755800000001],[-0.0043340418],[0.0009515521999999999],[-0.0017751498],[-0.0035311702],[-0.003621702],[-0.0030005376],[0.004371770400000001],[0.002752098],[0.0013844408],[-0.0007773802],[0.0005066528],[0.0030636860000000004],[9.557959999999992e-05],[0.00013012599999999967],[0.004096136],[0.0061803762],[0.003351505],[0.0052764194],[-0.0009026679999999999],[0.0034335855999999996],[-0.0052896418],[0.0005516685999999999],[-0.0028877204],[-0.0017699783999999999],[-0.0033804442],[0.0018150742000000001],1,2
1597,[-0.0004089827142857142],[-0.0033173264285714286],[-0.000987361],[-0.00044391857142857136],[-0.001134426142857143],[-0.005333557],[-0.0010081740000000001],[-0.0017444024285714287],[-0.003283995142857143],[0.0008241547142857142],[-0.001890900285714286],[0.0011218127142857142],[0.0011907242857142858],[0.0021620292857142858],[-0.0026060784285714287],[0.0012272951428571426],[0.004099915428571428],[0.001868340714285714],[0.0034579262857142856],[0.0035608855714285713],[0.000993199285714286],[0.003979139285714286],[0.002519103285714285],[-0.0017390777142857142],[0.003768913571428572],[-0.0020716247142857146],[-0.0017797300000000002],[0.0030202518571428574],0,4
1598,[-0.0004089827142857142],[-0.0033173264285714286],[-0.000987361],[-0.00044391857142857136],[-0.001134426142857143],[-0.005333557],[-0.0010081740000000001],[-0.0017444024285714287],[-0.003283995142857143],[0.0008241547142857142],[-0.001890900285714286],[0.0011218127142857142],[0.0011907242857142858],[0.0021620292857142858],[-0.0026060784285714287],[0.0012272951428571426],[0.004099915428571428],[0.001868340714285714],[0.0034579262857142856],[0.0035608855714285713],[0.000993199285714286],[0.003979139285714286],[0.002519103285714285],[-0.0017390777142857142],[0.003768913571428572],[-0.0020716247142857146],[-0.0017797300000000002],[0.0030202518571428574],1,3
1599,[1.7373166666666648e-05],[-0.003976668333333333],[-3.915133333333359e-05],[0.00037111699999999975],[0.0020567828333333334],[-0.003954914],[-0.002813263333333333],[-0.002608265666666667],[0.001978643],[0.0015802991666666669],[0.0003707026666666667],[0.0011210546666666666],[-0.0015080048333333334],[0.0027832296666666667],[8.223583333333328e-05],[0.0010326313333333334],[0.004273249666666667],[0.0007559476666666666],[0.0034331085],[0.005350648666666666],[0.00011302533333333311],[-0.0028788684999999994],[-0.0037809035],[0.002073997333333333],[-0.0017965388333333334],[0.0044059745],[0.0016799841666666666],[0.001677229333333333],0,3
